sec,time,waiting_time_min
0.0,00:00:00,0.0
1.0,00:00:01,0.0
2.0,00:00:02,0.0
3.0,00:00:03,0.0
4.0,00:00:04,0.0
5.0,00:00:05,0.0
6.0,00:00:06,0.0
7.0,00:00:07,0.0
8.0,00:00:08,0.0
9.0,00:00:09,0.0
10.0,00:00:10,0.0
11.0,00:00:11,0.0
12.0,00:00:12,0.0
13.0,00:00:13,0.0
14.0,00:00:14,0.0
15.0,00:00:15,0.0
16.0,00:00:16,0.0
17.0,00:00:17,0.0
18.0,00:00:18,0.0
19.0,00:00:19,0.0
20.0,00:00:20,0.0
21.0,00:00:21,0.0
22.0,00:00:22,0.0
23.0,00:00:23,0.0
24.0,00:00:24,0.0
25.0,00:00:25,0.0
26.0,00:00:26,0.0
27.0,00:00:27,0.0
28.0,00:00:28,0.0
29.0,00:00:29,0.0
30.0,00:00:30,0.0
31.0,00:00:31,0.0
32.0,00:00:32,0.845345331402533
33.0,00:00:33,0.845345331402533
34.0,00:00:34,0.845345331402533
35.0,00:00:35,0.845345331402533
36.0,00:00:36,0.845345331402533
37.0,00:00:37,0.845345331402533
38.0,00:00:38,0.845345331402533
39.0,00:00:39,0.845345331402533
40.0,00:00:40,0.845345331402533
41.0,00:00:41,0.6762762651220264
42.0,00:00:42,0.6762762651220264
43.0,00:00:43,0.6762762651220264
44.0,00:00:44,0.6762762651220264
45.0,00:00:45,0.6762762651220264
46.0,00:00:46,0.6762762651220264
47.0,00:00:47,0.6762762651220264
48.0,00:00:48,0.6762762651220264
49.0,00:00:49,0.6762762651220264
50.0,00:00:50,0.6762762651220264
51.0,00:00:51,0.6762762651220264
52.0,00:00:52,0.6762762651220264
53.0,00:00:53,0.6762762651220264
54.0,00:00:54,0.6762762651220264
55.0,00:00:55,0.6762762651220264
56.0,00:00:56,0.6762762651220264
57.0,00:00:57,0.6762762651220264
58.0,00:00:58,0.6762762651220264
59.0,00:00:59,0.6762762651220264
60.0,00:01:00,0.6762762651220264
61.0,00:01:01,0.6762762651220264
62.0,00:01:02,0.6762762651220264
63.0,00:01:03,0.6762762651220264
64.0,00:01:04,0.5635635542683554
65.0,00:01:05,0.5635635542683554
66.0,00:01:06,0.5635635542683554
67.0,00:01:07,0.5635635542683554
68.0,00:01:08,0.5635635542683554
69.0,00:01:09,0.5635635542683554
70.0,00:01:10,0.5635635542683554
71.0,00:01:11,0.5635635542683554
72.0,00:01:12,7.8184188248028414
73.0,00:01:13,11.436595450574233
74.0,00:01:14,14.228900635548838
75.0,00:01:15,16.486248101611
76.0,00:01:16,16.211002372652526
77.0,00:01:17,17.764162386343184
78.0,00:01:18,17.764162386343184
79.0,00:01:19,17.88528819134193
80.0,00:01:20,17.566321499550515
81.0,00:01:21,17.20036799493363
82.0,00:01:22,16.85383313385457
83.0,00:01:23,16.60745439268079
84.0,00:01:24,16.60745439268079
85.0,00:01:25,16.010956975411183
86.0,00:01:26,16.010956975411183
87.0,00:01:27,15.550122199005973
88.0,00:01:28,15.550122199005973
89.0,00:01:29,15.550122199005973
90.0,00:01:30,15.550122199005973
91.0,00:01:31,15.550122199005973
92.0,00:01:32,15.550122199005973
93.0,00:01:33,15.550122199005973
94.0,00:01:34,15.550122199005973
95.0,00:01:35,15.550122199005973
96.0,00:01:36,15.550122199005973
97.0,00:01:37,15.550122199005973
98.0,00:01:38,14.809640189529498
99.0,00:01:39,14.809640189529498
100.0,00:01:40,14.809640189529498
101.0,00:01:41,14.809640189529498
102.0,00:01:42,14.915586388215102
103.0,00:01:43,17.258900969031355
104.0,00:01:44,16.64497685043636
105.0,00:01:45,18.66874543189631
106.0,00:01:46,18.07526868242973
107.0,00:01:47,19.838955652908467
108.0,00:01:48,19.13042152244745
109.0,00:01:49,20.52720031547172
110.0,00:01:50,20.52720031547172
111.0,00:01:51,20.79030565722035
112.0,00:01:52,20.79030565722035
113.0,00:01:53,20.81273825547138
114.0,00:01:54,20.81273825547138
115.0,00:01:55,20.376272676925723
116.0,00:01:56,20.376272676925723
117.0,00:01:57,20.376272676925723
118.0,00:01:58,20.376272676925723
119.0,00:01:59,20.376272676925723
120.0,00:02:00,20.376272676925723
121.0,00:02:01,20.376272676925723
122.0,00:02:02,20.376272676925723
123.0,00:02:03,20.376272676925723
124.0,00:02:04,20.376272676925723
125.0,00:02:05,20.376272676925723
126.0,00:02:06,20.376272676925723
127.0,00:02:07,19.758809868534033
128.0,00:02:08,19.758809868534033
129.0,00:02:09,19.758809868534033
130.0,00:02:10,19.758809868534033
131.0,00:02:11,19.177668401812443
132.0,00:02:12,19.177668401812443
133.0,00:02:13,19.177668401812443
134.0,00:02:14,19.177668401812443
135.0,00:02:15,19.177668401812443
136.0,00:02:16,19.177668401812443
137.0,00:02:17,19.177668401812443
138.0,00:02:18,19.177668401812443
139.0,00:02:19,19.177668401812443
140.0,00:02:20,19.177668401812443
141.0,00:02:21,19.177668401812443
142.0,00:02:22,19.893984114285416
143.0,00:02:23,19.893984114285416
144.0,00:02:24,19.747063111245772
145.0,00:02:25,20.221741041453164
146.0,00:02:26,20.221741041453164
147.0,00:02:27,20.429148650819407
148.0,00:02:28,20.429148650819407
149.0,00:02:29,20.37833317131664
150.0,00:02:30,20.37833317131664
151.0,00:02:31,20.25472414817321
152.0,00:02:32,20.25472414817321
153.0,00:02:33,19.772468811311942
154.0,00:02:34,19.772468811311942
155.0,00:02:35,19.772468811311942
156.0,00:02:36,19.772468811311942
157.0,00:02:37,19.772468811311942
158.0,00:02:38,19.772468811311942
159.0,00:02:39,19.772468811311942
160.0,00:02:40,19.772468811311942
161.0,00:02:41,19.772468811311942
162.0,00:02:42,19.772468811311942
163.0,00:02:43,19.772468811311942
164.0,00:02:44,19.772468811311942
165.0,00:02:45,19.772468811311942
166.0,00:02:46,19.772468811311942
167.0,00:02:47,19.772468811311942
168.0,00:02:48,19.772468811311942
169.0,00:02:49,19.772468811311942
170.0,00:02:50,19.772468811311942
171.0,00:02:51,19.772468811311942
172.0,00:02:52,20.324658853172462
173.0,00:02:53,20.324658853172462
174.0,00:02:54,20.282053913955792
175.0,00:02:55,20.282053913955792
176.0,00:02:56,20.011485666683527
177.0,00:02:57,20.011485666683527
178.0,00:02:58,19.64790616171544
179.0,00:02:59,19.64790616171544
180.0,00:03:00,19.64790616171544
181.0,00:03:01,19.64790616171544
182.0,00:03:02,19.64790616171544
183.0,00:03:03,19.64790616171544
184.0,00:03:04,19.64790616171544
185.0,00:03:05,19.64790616171544
186.0,00:03:06,19.64790616171544
187.0,00:03:07,19.64790616171544
188.0,00:03:08,19.64790616171544
189.0,00:03:09,19.64790616171544
190.0,00:03:10,19.64790616171544
191.0,00:03:11,19.64790616171544
192.0,00:03:12,19.64790616171544
193.0,00:03:13,19.64790616171544
194.0,00:03:14,19.64790616171544
195.0,00:03:15,19.64790616171544
196.0,00:03:16,19.64790616171544
197.0,00:03:17,19.64790616171544
198.0,00:03:18,19.64790616171544
199.0,00:03:19,19.64790616171544
200.0,00:03:20,19.64790616171544
201.0,00:03:21,19.64790616171544
202.0,00:03:22,19.64790616171544
203.0,00:03:23,19.64790616171544
204.0,00:03:24,19.64790616171544
205.0,00:03:25,19.64790616171544
206.0,00:03:26,19.64790616171544
207.0,00:03:27,19.64790616171544
208.0,00:03:28,19.64790616171544
209.0,00:03:29,19.64790616171544
