sec,time,waiting_time_min
0.0,00:00:00,0.0
1.0,00:00:01,0.0
2.0,00:00:02,0.0
3.0,00:00:03,0.0
4.0,00:00:04,0.0
5.0,00:00:05,0.0
6.0,00:00:06,0.0
7.0,00:00:07,0.0
8.0,00:00:08,0.0
9.0,00:00:09,0.0
10.0,00:00:10,0.0
11.0,00:00:11,0.0
12.0,00:00:12,0.0
13.0,00:00:13,0.0
14.0,00:00:14,0.0
15.0,00:00:15,0.0
16.0,00:00:16,0.0
17.0,00:00:17,0.0
18.0,00:00:18,0.0
19.0,00:00:19,0.0
20.0,00:00:20,0.0
21.0,00:00:21,0.0
22.0,00:00:22,0.0
23.0,00:00:23,0.0
24.0,00:00:24,0.0
25.0,00:00:25,0.0
26.0,00:00:26,0.0
27.0,00:00:27,0.0
28.0,00:00:28,0.0
29.0,00:00:29,0.0
30.0,00:00:30,0.0
31.0,00:00:31,0.0
32.0,00:00:32,0.0
33.0,00:00:33,0.0
34.0,00:00:34,0.0
35.0,00:00:35,0.0
36.0,00:00:36,0.0
37.0,00:00:37,0.0
38.0,00:00:38,0.0
39.0,00:00:39,0.0
40.0,00:00:40,0.0
41.0,00:00:41,0.0
42.0,00:00:42,0.0
43.0,00:00:43,2.790293339338397
44.0,00:00:44,2.790293339338397
45.0,00:00:45,2.790293339338397
46.0,00:00:46,2.790293339338397
47.0,00:00:47,2.790293339338397
48.0,00:00:48,2.790293339338397
49.0,00:00:49,2.790293339338397
50.0,00:00:50,2.790293339338397
51.0,00:00:51,2.536630308489452
52.0,00:00:52,2.536630308489452
53.0,00:00:53,2.536630308489452
54.0,00:00:54,2.536630308489452
55.0,00:00:55,2.536630308489452
56.0,00:00:56,2.536630308489452
57.0,00:00:57,2.536630308489452
58.0,00:00:58,2.536630308489452
59.0,00:00:59,2.536630308489452
60.0,00:01:00,2.536630308489452
61.0,00:01:01,2.536630308489452
62.0,00:01:02,2.536630308489452
63.0,00:01:03,2.536630308489452
64.0,00:01:04,2.536630308489452
65.0,00:01:05,2.536630308489452
66.0,00:01:06,2.536630308489452
67.0,00:01:07,2.536630308489452
68.0,00:01:08,2.536630308489452
69.0,00:01:09,2.536630308489452
70.0,00:01:10,2.325244449448664
71.0,00:01:11,2.325244449448664
72.0,00:01:12,4.00257622287313
73.0,00:01:13,8.380872421809489
74.0,00:01:14,8.380872421809489
75.0,00:01:15,9.99301453406433
76.0,00:01:16,9.713378722074617
77.0,00:01:17,10.471020897896288
78.0,00:01:18,10.471020897896288
79.0,00:01:19,10.054241970036948
80.0,00:01:20,10.054241970036948
81.0,00:01:21,10.054241970036948
82.0,00:01:22,10.054241970036948
83.0,00:01:23,10.054241970036948
84.0,00:01:24,10.054241970036948
85.0,00:01:25,10.054241970036948
86.0,00:01:26,10.054241970036948
87.0,00:01:27,10.054241970036948
88.0,00:01:28,10.054241970036948
89.0,00:01:29,10.054241970036948
90.0,00:01:30,10.054241970036948
91.0,00:01:31,10.054241970036948
92.0,00:01:32,10.054241970036948
93.0,00:01:33,10.054241970036948
94.0,00:01:34,10.054241970036948
95.0,00:01:35,10.054241970036948
96.0,00:01:36,10.054241970036948
97.0,00:01:37,10.054241970036948
98.0,00:01:38,10.054241970036948
99.0,00:01:39,10.054241970036948
100.0,00:01:40,10.054241970036948
101.0,00:01:41,10.054241970036948
102.0,00:01:42,10.054241970036948
103.0,00:01:43,10.054241970036948
104.0,00:01:44,10.054241970036948
105.0,00:01:45,10.054241970036948
106.0,00:01:46,10.054241970036948
107.0,00:01:47,10.054241970036948
108.0,00:01:48,10.054241970036948
109.0,00:01:49,9.5515298715351
110.0,00:01:50,9.5515298715351
111.0,00:01:51,9.5515298715351
112.0,00:01:52,9.5515298715351
113.0,00:01:53,12.200556110182982
114.0,00:01:54,12.200556110182982
115.0,00:01:55,13.505722852053054
116.0,00:01:56,13.505722852053054
117.0,00:01:57,14.111501462501847
118.0,00:01:58,14.111501462501847
119.0,00:01:59,14.430931930066766
120.0,00:02:00,14.430931930066766
121.0,00:02:01,14.125504816495818
122.0,00:02:02,14.125504816495818
123.0,00:02:03,14.125504816495818
124.0,00:02:04,14.125504816495818
125.0,00:02:05,14.125504816495818
126.0,00:02:06,14.125504816495818
127.0,00:02:07,14.125504816495818
128.0,00:02:08,14.125504816495818
129.0,00:02:09,14.125504816495818
130.0,00:02:10,14.125504816495818
131.0,00:02:11,13.638418443513203
132.0,00:02:12,13.638418443513203
133.0,00:02:13,13.638418443513203
134.0,00:02:14,13.638418443513203
135.0,00:02:15,13.638418443513203
136.0,00:02:16,13.638418443513203
137.0,00:02:17,13.638418443513203
138.0,00:02:18,13.638418443513203
139.0,00:02:19,13.638418443513203
140.0,00:02:20,13.638418443513203
141.0,00:02:21,13.638418443513203
142.0,00:02:22,13.638418443513203
143.0,00:02:23,14.678223642159056
144.0,00:02:24,14.678223642159056
145.0,00:02:25,15.709659944956488
146.0,00:02:26,15.709659944956488
147.0,00:02:27,15.683222247037563
148.0,00:02:28,15.683222247037563
149.0,00:02:29,15.685161520302879
150.0,00:02:30,15.685161520302879
151.0,00:02:31,15.67954364910535
152.0,00:02:32,15.67954364910535
153.0,00:02:33,15.465258003528024
154.0,00:02:34,15.465258003528024
155.0,00:02:35,15.111849192822255
156.0,00:02:36,15.111849192822255
157.0,00:02:37,15.111849192822255
158.0,00:02:38,15.111849192822255
159.0,00:02:39,15.111849192822255
160.0,00:02:40,15.111849192822255
161.0,00:02:41,15.111849192822255
162.0,00:02:42,14.703420836259493
163.0,00:02:43,14.703420836259493
164.0,00:02:44,14.703420836259493
165.0,00:02:45,14.703420836259493
166.0,00:02:46,14.703420836259493
167.0,00:02:47,14.703420836259493
168.0,00:02:48,14.703420836259493
169.0,00:02:49,14.703420836259493
170.0,00:02:50,14.316488708989505
171.0,00:02:51,13.949399254912851
172.0,00:02:52,13.949399254912851
173.0,00:02:53,13.60066427354003
174.0,00:02:54,13.60066427354003
175.0,00:02:55,13.60066427354003
176.0,00:02:56,13.60066427354003
177.0,00:02:57,13.60066427354003
178.0,00:02:58,13.60066427354003
179.0,00:02:59,13.60066427354003
180.0,00:03:00,13.60066427354003
181.0,00:03:01,13.60066427354003
182.0,00:03:02,14.492623840168855
183.0,00:03:03,14.248407482019537
184.0,00:03:04,14.683475740657697
185.0,00:03:05,14.030876818850688
186.0,00:03:06,14.365466296029485
187.0,00:03:07,14.365466296029485
188.0,00:03:08,14.644554329022421
189.0,00:03:09,14.644554329022421
190.0,00:03:10,14.777836480149128
191.0,00:03:11,14.777836480149128
192.0,00:03:12,14.476247980554248
193.0,00:03:13,14.476247980554248
194.0,00:03:14,14.476247980554248
195.0,00:03:15,14.186723020943164
196.0,00:03:16,14.186723020943164
197.0,00:03:17,14.186723020943164
198.0,00:03:18,14.186723020943164
199.0,00:03:19,14.186723020943164
200.0,00:03:20,14.186723020943164
201.0,00:03:21,14.186723020943164
202.0,00:03:22,14.186723020943164
203.0,00:03:23,14.186723020943164
204.0,00:03:24,14.186723020943164
205.0,00:03:25,14.186723020943164
206.0,00:03:26,14.186723020943164
207.0,00:03:27,14.186723020943164
208.0,00:03:28,14.186723020943164
209.0,00:03:29,13.908551981316828
210.0,00:03:30,13.908551981316828
211.0,00:03:31,13.908551981316828
212.0,00:03:32,13.908551981316828
213.0,00:03:33,14.366559937458524
